Property Ref,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Post Code,Liable From,RV,Description,Empty Y/N,Empty From,Discretionary Relief %,Mandatory Relief %,Small Business Rate Relief Y/N,Supporting Small Business Relief Y/N,Retail Hospitality and Leisure Relief Y/N
Ref:10034695731467,CHUNKS STEAK BOX LTD,,DALE AUTO PARTS UNIT 1,CLAYCOURT BUILDING,CRAWFORD STREET,ROCHDALE,LANCS,,OL16 5RS,03.09.2019,3350,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:1003708165442A,ROYAL MAIL GROUP PLC,,PROGRESS HOUSE,,AINSWORTH STREET,ROCHDALE,LANCASHIRE,,OL16 1AA,01.04.2005,129000,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10037099153853,VALUME LTD,,C C G WINDSCREENS LTD,,AINSWORTH STREET,ROCHDALE,LANCS,,OL16 5QX,01.07.2014,35500,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10055590642185,ARQIVA LTD,,ARQIVA SITE NO 305285,,LAND ADJ TO ALBERT ROYDS STREET,BELLSHILL CERESCENT,ROCHDALE,,OL16 2TS,31.08.2020,5700,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:10055593003732,PGC ESTATES LTD,,,,BELFIELD HALL FARM,ALBERT ROYDS STREET,ROCHDALE,,OL16 5AA,31.05.2024,150000,WAREHOUSE AND PREMISES,Y,31.05.2024,0,0,N,N,N
Ref:10055596411316,GLAMORGAN RETAIL LIMITED,,UNIT 3 MAYFIELD PARADE,,ALBERT ROYDS STREET,ROCHDALE,LANCS,,OL16 2UE,30.08.2012,11500,SHOP AND PREMISES,N,,0,0,N,N,Y
Ref:10055596415123,TOTE BOOKMAKERS LTD,,UNIT 2 MAYFIELD PARADE,,ALBERT ROYDS STREET,ROCHDALE,LANCS,,OL16 2UE,01.12.2006,10000,SHOP AND PREMISES,N,,0,0,N,N,N
Ref:10058X0002005B,J COONEY LTD,,J COONEY CIVIL ENGINEERING,,ALBION ROAD,ROCHDALE,LANCS,,OL11 4HQ,01.04.2005,12750,WAREHOUSE AND PREMISES,N,,0,0,Y,Y,N
Ref:10058X00050075,ACRYATE RESEARCH AND DEVELOPMENT,LTD,UNIT 3,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,15.04.2016,12750,WORKSHOP AND PREMISES,N,,0,0,Y,Y,N
Ref:10058X0008009A,TECHGEAR SOLUTIONS DIRECT LTD,,UNIT 6,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,07.06.2013,10750,WAREHOUSE AND PREMISES,N,,0,0,Y,N,N
Ref:10058X00090068,SHARKBYTE TRADING LIMITED,,UNIT 7,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,01.04.2019,12000,WAREHOUSE AND PREMISES,N,,0,0,Y,N,N
Ref:10058X00100058,ALLELY (ROCHDALE) LTD,,UNIT 9,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,31.12.2020,21250,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10058X001200X7,DAMAR INTERIORS (NORTH WEST) LTD,,UNIT 11,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,21.10.2013,10750,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10058X0014006B,G S ROCHDALE AUTOS LTD,,,,UNIT 13A,ALBION INDUSTRIAL ESTATE,ROCHDALE,,OL11 4JB,01.02.2019,6800,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10058X00150019,BREEDON TRADING LIMITED,,TARMAC TOPMIX,,ALBION ROAD,ROCHDALE,LANCASHIRE,,OL11 4HQ,11.09.2015,34750,CONCRETE BATCHING PLANT AND PREMISES,N,,0,0,N,N,N
Ref:10058X46097239,JEM FIRE PUMPS LIMITED,,UNIT 4-5,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4HN,01.04.2005,29000,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10058X97378008,J & N FITNESS LTD,,,,UNIT 1,ALBION INDUSTRIAL ESTATE,ROCHDALE,,OL11 4JB,01.05.2021,11500,GYMNASIUM AND PREMISES,N,,0,0,Y,N,N
Ref:1010950010005B,ABM (LANCASHIRE) LTD,,UNIT 10,,ALMA INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL12 0HQ,27.04.2011,10500,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10109590034010,GROEASI LTD,,,,UNITS 3 & 4 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,01.07.2023,28250,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10109590036021,CPT DIRECT LIMITED,,,,UNIT 5 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,01.08.2023,14500,Workshop and Premises,N,,0,0,N,N,N
Ref:10109591029834,PURE FILTERS (INTERNATIONAL) LTD,,,,UNIT 2 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,06.04.2018,53500,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10109594389201,PURE FILTERS (INTERNATIONAL),LTD,,,UNIT 1 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,01.01.2013,43000,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10109595527680,FOODIE WORLD LTD,,UNIT 7,,ALMA INDUSTRIAL ESTATES,ROCHDALE,,,OL12 0HQ,15.06.2023,22500,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10109597754519,TRUSTEES OF THE GUARDIAN PENSION,SCHEME,UNIT 6,,ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,25.05.2023,22500,WAREHOUSE AND PREMISES,Y,25.05.2023,0,0,N,N,N
Ref:10109599183828,TRI-CAST COMPOSITE TUBES LTD,,UNIT 9,,ALMA INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL12 0HQ,16.06.2010,11000,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10115000010086,ASPDEN & MIDDLETON PROPERTIES,LTD,BOUNDARY WORKS,,BOUNDARY STREET,ROCHDALE,LANCS,,OL11 1QX,01.04.2007,2125,WORKSHOP AND PREMISES,Y,01.04.2007,0,0,N,N,N
Ref:10115000050153,BEEWEB LTD,,LANCASHIRE WORKS BEE WEBB,,AMBROSE STREET,ROCHDALE,LANCASHIRE,,OL11 1QX,01.04.2005,6300,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:1011599008A022,FORTIS CONSULTANTS LTD,,,,UNIT 8A AMBROSE STREET,ROCHDALE,,,OL11 1QX,11.07.2020,3750,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10124800010086,THE CATHOLIC CLUB,,CATHOLIC CLUB,,ANN STREET,ROCHDALE,LANCASHIRE,,OL16 1QQ,01.04.2005,12000,CLUB AND PREMISES,N,,0,0,Y,N,N
Ref:10124893772934,A & A PLUMBING LTD,T/A DALE PLUMBING MERCHANTS,,,UNIT 3 ANN STREET,ROCHDALE,,,OL16 1QQ,01.03.2017,7000,OFFICE & PREMISES,N,,0,0,Y,N,N
Ref:10124893772935,UNITED FORECOURT LTD,,,,UNIT 4 ANN STREET,ROCHDALE,,,OL16 1QQ,31.03.2018,10000,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:10124898731641,CC FRANCHISING WORLDWIDE LTD,,,,UNITS 1 & 2 ANN STREET,ROCHDALE,,,OL16 1QQ,29.09.2015,8700,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10193800000305,NW RESERVE FORCES & CADETS,ASSOC,ATC HUT,,ASHFIELD ROAD,ROCHDALE,LANCASHIRE,,OL11 1QH,01.04.2005,3400,HALL AND PREMISES,N,,100,0,N,N,N
Ref:10205200080095,CASTLETON BOWLING CLUB,,CASTLETON BOWLING CLUB,,ASHTON STREET,ROCHDALE,,,OL11 3RT,01.04.2005,4600,BOWLING GREEN AND PREMISES,N,,0,0,Y,N,N
Ref:10210594431736,TELEFONICA UK LIMITED,,T-MOBILE SITE REF 52068,,HAMER LANE,ROCHDALE,LANCASHIRE,,OL16 2UL,03.02.2011,7100,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:10210599185061,S M NOORAN LTD,,UNIT 1 ASHWOOD HOUSE,,HAMER LANE,ROCHDALE,LANCASHIRE,,OL16 2UL,07.03.2023,24750,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10268X95055701,FISHERFIELD CHILDCARE LTD,,THE GABLES,,34 BAGSLATE MOOR ROAD,ROCHDALE,,,OL11 0HQ,01.04.2005,28000,DAY NURSERY AND PREMISES,N,,0,0,N,N,N
Ref:10274200050077,ROCHDALE MBC,,,,17A BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JA,20.05.2013,14750,OFFICES AND PREMISES,Y,20.05.2013,0,0,N,N,N
Ref:10274200060045,ROCHDALE MBC,,,,19 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JA,01.06.2018,6300,SHOWROOM AND PREMISES,Y,01.06.2018,0,0,N,N,N
Ref:10274200080091,ROCHDALE MBC,,,,21 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JA,15.07.2015,5800,OFFICES AND PREMISES,Y,03.06.2016,0,0,N,N,N
Ref:10274290684331,FRENCH IMPORTS LTD,RETIREMENT BENEFITS SCHEME,,,UNIT 3 AT 1A-3A,BAILLIE STREET,ROCHDALE,,OL16 1JJ,01.11.2021,2225,OFFICES AND PREMISES,Y,01.11.2021,0,0,N,N,N
Ref:10274290716846,COBAN SOLUTIONS LTD,,,,3RD FLR OFFICE 4 AT 1A-3A,BAILLIE STREET,ROCHDALE,,OL16 1JJ,01.09.2021,3350,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:10274293713630,FROZEN DELIGHTS AND CONVENIENCE,STORE LTD,,,5 BAILLIE STREET,ROCHDALE,,,OL16 1JJ,20.02.2023,2425,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10274293713631,KNOCKOUT DINER LIMITED,,,,5A BAILLIE STREET,ROCHDALE,,,OL16 1JJ,07.05.2022,2900,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10274294022839,ROCHDALE MBC,,,,1ST FLR 19,BAILLIE STREET,ROCHDALE,LANCASHIRE,OL16 1JJ,11.03.2014,5800,HAIRDRESSING SALON AND PREMISES,Y,11.03.2014,0,0,N,N,N
Ref:10274296230200,HARVEY & THOMPSON LTD,,SHOP 1 AT 1A-3A,,BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JJ,14.01.2020,8200,SHOP AND PREMISES,N,,0,0,N,N,N
